0,Date,Open,High,Low,Close
1,05-Jan-2023,60847.5,60877.06,60049.84,60353.27
2,04-Jan-2023,61294.65,61327.21,60593.56,60657.45
3,03-Jan-2023,61074.88,61343.96,61004.04,61294.2
4,02-Jan-2023,60871.24,61222.79,60764.63,61167.79
5,30-Dec-2022,61329.16,61392.68,60743.71,60840.74
6,29-Dec-2022,60628.29,61210.65,60479.06,61133.88
7,28-Dec-2022,60811.52,61075.33,60713.77,60910.28
8,27-Dec-2022,60861.41,60986.68,60405.66,60927.43
9,26-Dec-2022,59755.08,60833.78,59754.1,60566.42
10,23-Dec-2022,60205.56,60546.88,59765.56,59845.29
11,22-Dec-2022,61257.17,61464.38,60637.24,60826.22
12,21-Dec-2022,61993.71,62006.46,60938.38,61067.24
13,20-Dec-2022,61608.85,61780.37,61102.68,61702.29
14,19-Dec-2022,61405.8,61844.92,61265.31,61806.19
15,16-Dec-2022,61534.24,61893.22,61292.53,61337.81
16,15-Dec-2022,62530.07,62624.81,61715.61,61799.03
17,14-Dec-2022,62685.94,62835.11,62591.28,62677.91
18,13-Dec-2022,62300.67,62567.92,62129.57,62533.3
19,12-Dec-2022,61770.56,62239.42,61676.15,62130.57
20,09-Dec-2022,62690.86,62735.42,61889.11,62181.67
21,08-Dec-2022,62504.04,62633.56,62320.18,62570.68
22,07-Dec-2022,62615.52,62759.97,62316.65,62410.68
23,06-Dec-2022,62395.55,62677.84,62390.07,62626.36
24,05-Dec-2022,62865.28,62939.63,62507.88,62834.6
25,02-Dec-2022,62978.58,63148.59,62679.63,62868.5
26,01-Dec-2022,63357.99,63583.07,63183.77,63284.19
27,30-Nov-2022,62743.47,63303.01,62648.38,63099.65
28,29-Nov-2022,62362.08,62887.4,62362.08,62681.84
29,28-Nov-2022,62016.35,62701.4,61959.74,62504.8
30,25-Nov-2022,62327.88,62447.73,62115.66,62293.64
31,24-Nov-2022,61656,62412.33,61600.42,62272.68
32,23-Nov-2022,61779.71,61780.9,61442.69,61510.58
33,22-Nov-2022,61126.56,61466.63,61073.68,61418.96
34,21-Nov-2022,61456.33,61456.33,61059.33,61144.84
35,18-Nov-2022,61858.2,61929.88,61337.43,61663.48
36,17-Nov-2022,61812.36,62050.8,61643.27,61750.6
37,16-Nov-2022,61708.63,62052.57,61708.63,61980.72
38,15-Nov-2022,61630.05,61955.96,61436.9,61872.99
39,14-Nov-2022,61765.86,61916.24,61572.03,61624.15
40,11-Nov-2022,61311.02,61840.97,61311.02,61795.04
41,10-Nov-2022,60524.27,60848.73,60425.47,60613.7
42,09-Nov-2022,61304.29,61447.23,60905.15,61033.55
43,07-Nov-2022,61188.13,61401.54,60714.36,61185.15
44,04-Nov-2022,60698.27,61004.49,60666.01,60950.36
45,03-Nov-2022,60511.57,60994.37,60485.14,60836.41
46,02-Nov-2022,61156.89,61209.65,60794.39,60906.09
47,01-Nov-2022,61065.58,61289.73,60868.69,61121.35
48,31-Oct-2022,60246.96,60786.7,60246.96,60746.59
49,28-Oct-2022,59746.8,60133.17,59739.05,59959.85
50,27-Oct-2022,59792.32,59959.94,59496.8,59756.84
51,25-Oct-2022,60002.96,60081.24,59489.02,59543.96
52,24-Oct-2022,59804.02,59994.25,59776.66,59831.66
53,21-Oct-2022,59381.36,59590.93,59132.94,59307.15
54,20-Oct-2022,58824.48,59273.85,58791.28,59202.9
55,19-Oct-2022,59196.96,59399.69,58961.77,59107.19
56,18-Oct-2022,58744.13,59143.66,58744.13,58960.6
57,17-Oct-2022,57752.5,58449,57639.8,58410.98
58,14-Oct-2022,58162.74,58435.12,57848.23,57919.97
59,13-Oct-2022,57512.74,57568.14,57055.75,57235.33
60,12-Oct-2022,57312.49,57687.64,57085.92,57625.91
61,11-Oct-2022,58004.25,58027.52,57050.4,57147.32
62,10-Oct-2022,57424.07,58125.01,57365.68,57991.11
63,07-Oct-2022,58092.56,58269.34,57851.15,58191.29
64,06-Oct-2022,58314.05,58578.76,58173.7,58222.1
65,04-Oct-2022,57506.65,58099.94,57506.65,58065.47
66,03-Oct-2022,57403.92,57454.84,56683.4,56788.81
67,30-Sep-2022,56240.15,57722.63,56147.23,57426.92
68,29-Sep-2022,56997.9,57166.14,56314.05,56409.96
69,28-Sep-2022,56710.13,57213.33,56485.67,56598.28
70,27-Sep-2022,57376.52,57704.57,56950.52,57107.52
71,26-Sep-2022,57525.03,57708.38,57038.24,57145.22
72,23-Sep-2022,59005.18,59143.32,57981.95,58098.92
73,22-Sep-2022,59073.84,59457.58,58832.78,59119.72
74,21-Sep-2022,59504.14,59799.04,59275.4,59456.78
75,20-Sep-2022,59556.91,60105.79,59556.91,59719.74
76,19-Sep-2022,58747.31,59277.55,58487.76,59141.23
77,16-Sep-2022,59585.72,59720.56,58687.17,58840.79
78,15-Sep-2022,60454.37,60676.12,59865.75,59934.01
79,14-Sep-2022,59417.12,60649.04,59417.12,60346.97
80,13-Sep-2022,60408.29,60635.28,60381.02,60571.08
81,12-Sep-2022,59912.29,60284.55,59912.29,60115.13
82,09-Sep-2022,60045.75,60119.8,59634.39,59793.14
83,08-Sep-2022,59374.99,59711.96,59315.71,59688.22
84,07-Sep-2022,58789.26,59166.46,58722.89,59028.91
85,06-Sep-2022,59285.36,59566.67,58974.26,59196.99
86,05-Sep-2022,58814.08,59308.25,58812.2,59245.98
87,02-Sep-2022,58969.02,59108.66,58558.64,58803.33
